lId	iReport	iSensitivity	iCalibration	iBifurcation	sName	sUnit	sMinValue	sMaxValue	sDefault0	sSet1	sSet2	sSet3	sSet1Changed	sSet2Changed	sSet3Changed	sDescription	sRemarks	-1		Open water	Sediment	Marsh	Marsh sediment	Total	Depth	NH4	N)3	PO4	Adsorbed P	SiO4	Oxygen	Detritus	Humus	Inorganic matter	Diatoms	Green algae	Blue greens	Vegetation	Phragmites	Zooplankton	Zoobethos	Zoop/benth fish	Predatory fish	Mass balance	Hydrology	Inorganic matter	Dry weight	Nitrogen	Phosphorus	Silica	Oxygen	Main module	Transport processes	Abiotic and microbial module	Algal module	Vegetation module	Food web module	Marsh water module	Marsh vegetation module	_InclTran_	_InclPrim_	_InclPhytS_	_InclBed_	_InclWeb_	_InclMarsh_	iSensitivity	shortName	Duflow
90	0	0	0	0	_cDIMIn_	gDW/m3	0	0	10	10	10	10	TRUE	TRUE	TRUE	inorganic_matter_concentration_in_inflow_water	-	-1	inorganic_matter_concentration_in_inflow_water																																																cDIMIn	dummy
91	0	0	0	0	_cO2In_	gO2/m3	0	0	5	5	5	5	TRUE	TRUE	TRUE	O2_concentration_in_inflow_water	-	-1	O2_concentration_in_inflow_water																																																cO2In	dummy
92	0	0	0	0	_cDredInterval_	year	0	0	9999000	9999000	9999000	9999000	TRUE	TRUE	TRUE	dredging_interval	-	-1	dredging_interval																																																cDrerval	PARM
93	0	0	0	0	_cDredStart_	year	0	0	9999000	9999000	9999000	9999000	TRUE	TRUE	TRUE	first_dredging_year_(should_be_n_times_cDredInterval_)	-	-1	first_dredging_year_(should_be_n_times_cDredInterval_)																																																cDretart	PARM
94	0	0	0	0	_cDepthRef_	m	0	0	1.00E-28	1.00E-28	1.00E-28	1.00E-28	TRUE	TRUE	TRUE	reference_water_depth_for_dredging	-	-1	reference_water_depth_for_dredging																																																cDephRef	PARM
95	0	1	0	0	_cLengDred_	day	0	0	10	10	10	10	TRUE	TRUE	TRUE	length_of_dredging_period	-	-1	length_of_dredging_period																																																cLenDred	PARM
96	0	0	0	0	_fEffDred_	-	0	0	0.95	0.95	0.95	0.95	TRUE	TRUE	TRUE	dredging_efficiency_(<10)	-	-1	dredging_efficiency_(<10)																																																fEffDred	PARM
97	0	0	0	0	_fEffDredLemn_	-	0	0	0.5	0.5	0.5	0.5	TRUE	TRUE	TRUE	dredging_efficiency_for_duckweed_(<10)	-	-1	dredging_efficiency_for_duckweed_(<10)																																																fEffLemn	PARM
98	0	0	0	0	_cFetch_	m	0	0	0	0	0	0	TRUE	TRUE	TRUE	wind_fetch	-	-1	wind_fetch																																																cFetch	PARM
99	0	0	0	0	_cTmAve_	oC	0	0	12	12	12	12	TRUE	TRUE	TRUE	average_water_temperature	-	-1	average_water_temperature																																																cTmAve	PARM
