RunId	Time	_sPO4W_	_sO2W_	_sDDiatW_	_sDZoo_	_sDFiAd_	_sDVeg_	_sDBent_	_oPTotW_	_oChla_	_aSecchi_	_aDError_	_aNError_	_aPError_	-1
0	1655	0.00219973	11.0667	4.46053	0.359946	2.15677	0.464192	1.11865	0.265417	157.991	0.244847	1.45519e-011	-1.42109e-013	2.13163e-014	-1
0	1656	0.00208567	11.0132	4.45337	0.359125	2.1439	0.46073	1.11672	0.26552	160.3	0.242646	2.18279e-011	-1.98952e-013	1.77636e-014	-1
0	1657	0.00199286	10.965	4.44442	0.358171	2.13102	0.457105	1.11501	0.265638	162.521	0.240562	2.18279e-011	-1.7053e-013	2.13163e-014	-1
0	1658	0.00195268	10.9428	4.43931	0.357653	2.1246	0.455242	1.11424	0.265702	163.591	0.239571	1.45519e-011	-1.7053e-013	2.13163e-014	-1
0	1659	0.00188233	10.9013	4.4279	0.356552	2.1119	0.451439	1.11289	0.265837	165.637	0.237699	2.18279e-011	-1.42109e-013	1.77636e-014	-1
0	1660	0.00182294	10.8633	4.41504	0.355393	2.09944	0.447561	1.11178	0.265978	167.547	0.23598	1.45519e-011	-1.13687e-013	2.13163e-014	-1
0	1661	0.00177229	10.828	4.40088	0.354203	2.08727	0.443637	1.1109	0.266124	169.316	0.234412	1.45519e-011	-1.13687e-013	1.42109e-014	-1
0	1662	0.00172869	10.7948	4.38554	0.353005	2.07543	0.439689	1.11025	0.266272	170.943	0.232992	2.18279e-011	-1.13687e-013	1.77636e-014	-1
0	1663	0.00169085	10.7634	4.36912	0.351817	2.06393	0.435732	1.1098	0.266422	172.434	0.231709	2.18279e-011	-1.7053e-013	1.77636e-014	-1
0	1664	0.00167377	10.7483	4.36052	0.351231	2.0583	0.433754	1.10965	0.266498	173.131	0.231116	2.18279e-011	-1.42109e-013	2.13163e-014	-1
0	1665	0.00164276	10.7192	4.34259	0.350082	2.04731	0.429804	1.10949	0.266649	174.43	0.230022	2.91038e-011	-1.42109e-013	1.77636e-014	-1
0	1666	0.00161538	10.6915	4.32371	0.348969	2.03664	0.425867	1.1095	0.2668	175.612	0.229042	2.18279e-011	-1.42109e-013	1.77636e-014	-1
0	1667	0.00159116	10.6635	4.30254	0.347894	2.02629	0.42195	1.10968	0.266951	176.669	0.228176	2.91038e-011	-1.13687e-013	1.77636e-014	-1
0	1668	0.00156986	10.6311	4.27428	0.346816	2.0162	0.41804	1.11001	0.267102	177.558	0.227456	2.18279e-011	-8.52651e-014	1.77636e-014	-1
0	1669	0.00155122	10.5965	4.2401	0.345696	2.00645	0.41418	1.11048	0.267252	178.286	0.226872	2.18279e-011	-8.52651e-014	1.77636e-014	-1
0	1670	0.0015346	10.5611	4.20084	0.344496	1.99694	0.410333	1.11108	0.267405	178.882	0.226402	2.18279e-011	-8.52651e-014	1.77636e-014	-1
0	1671	0.00151971	10.5258	4.15747	0.343201	1.98768	0.406511	1.11181	0.26756	179.363	0.226032	2.18279e-011	-8.52651e-014	1.42109e-014	-1
0	1672	0.0015064	10.4917	4.11121	0.341819	1.97874	0.402752	1.11265	0.267716	179.738	0.225754	2.91038e-011	-5.68434e-014	1.77636e-014	-1
0	1673	0.00149424	10.4584	4.06178	0.340326	1.96995	0.398987	1.11361	0.267877	180.027	0.225552	2.91038e-011	-8.52651e-014	1.06581e-014	-1
0	1674	0.00148323	10.4267	4.01055	0.338753	1.96145	0.395285	1.11467	0.268039	180.236	0.225423	2.18279e-011	-8.52651e-014	1.06581e-014	-1
0	1675	0.00147319	10.3966	3.95776	0.337103	1.9532	0.39163	1.11582	0.268203	180.375	0.225357	2.91038e-011	-5.68434e-014	1.06581e-014	-1
0	1676	0.00146386	10.3676	3.90278	0.335355	1.94504	0.387959	1.11708	0.268371	180.453	0.225348	1.45519e-011	-2.84217e-014	1.06581e-014	-1
0	1677	0.00145538	10.3406	3.8478	0.333581	1.93726	0.3844	1.11841	0.268539	180.474	0.225391	2.18279e-011	-5.68434e-014	1.42109e-014	-1
0	1678	0.00144367	10.3021	3.76226	0.330777	1.92576	0.379036	1.12059	0.268798	180.415	0.225543	2.18279e-011	-2.84217e-014	1.42109e-014	-1
0	1679	0.00143663	10.2786	3.70547	0.328894	1.91848	0.375572	1.12211	0.26897	180.323	0.225696	2.18279e-011	-2.84217e-014	7.10543e-015	-1
0	1680	0.00143004	10.2563	3.64803	0.326978	1.91135	0.372133	1.12372	0.269142	180.192	0.225886	2.18279e-011	0	1.06581e-014	-1
0	1681	0.00142375	10.2346	3.58858	0.324987	1.9042	0.368633	1.12544	0.269321	180.021	0.226119	2.18279e-011	0	1.06581e-014	-1
0	1682	0.00141806	10.2151	3.53206	0.32309	1.89761	0.365356	1.12714	0.269491	179.827	0.226372	2.18279e-011	2.84217e-014	1.42109e-014	-1
0	1683	0.00141254	10.1959	3.47269	0.321097	1.89087	0.361959	1.12899	0.269668	179.595	0.226667	2.18279e-011	-2.84217e-014	1.77636e-014	-1
0	1684	0.00140734	10.1778	3.41335	0.31911	1.88432	0.358609	1.1309	0.269845	179.333	0.226993	1.45519e-011	-2.84217e-014	1.77636e-014	-1
0	1685	0.00140024	10.1535	3.32751	0.316247	1.87515	0.353829	1.13377	0.270098	178.909	0.227512	1.45519e-011	-2.84217e-014	1.77636e-014	-1
0	1686	0.00139565	10.1374	3.26624	0.314217	1.86881	0.350464	1.1359	0.270277	178.574	0.227919	1.45519e-011	-5.68434e-014	1.77636e-014	-1
0	1687	0.0013916	10.1241	3.21291	0.31246	1.86342	0.347563	1.13781	0.270433	178.258	0.228298	7.27596e-012	-5.68434e-014	1.77636e-014	-1
0	1688	0.00138739	10.1096	3.15109	0.310437	1.85732	0.344232	1.14008	0.270607	177.877	0.228754	7.27596e-012	-2.84217e-014	1.77636e-014	-1
0	1689	0.00138369	10.0977	3.09683	0.308675	1.85209	0.341335	1.14213	0.270762	177.514	0.229186	7.27596e-012	-2.84217e-014	1.42109e-014	-1
0	1690	0.00137988	10.0848	3.0347	0.306674	1.84625	0.338046	1.14455	0.270932	177.083	0.229697	7.27596e-012	-2.84217e-014	2.13163e-014	-1
0	1691	0.00137482	10.0692	2.95301	0.30407	1.83879	0.333767	1.14783	0.271154	176.474	0.230418	7.27596e-012	0	2.13163e-014	-1
0	1692	0.00137307	10.0633	2.91999	0.303026	1.83585	0.332051	1.14919	0.27124	176.219	0.230719	1.45519e-011	-2.84217e-014	1.77636e-014	-1
